New (wrong) category,Sentence,,Statistics,Context,Misclassified,Total,Proportion
0,We combined our problems,,,,,,
0,X and Y combined to make Z,,,,,,
1,A guy mixes Spanish and Hebrew,,,,,,
0,Modelkrak mixed with Seals,,,,,,
0,Love and poison mix with each other well,,,,,,
0,Salih discussed with South,,,,,,
0,Shushkevich discussed with GAIN,,,,,,
0,Hank discussed with Carol,,,,,,
0,Sarkozy discussed with President,,,,,,
0,Regulation discussed with John,,,,,,
0,Brussels discussed with Georges,,,,,,
0,USA discussed with Russia,,,,,,
0,Hazelwood discussed with Vice,,,,,,
0,Walsh discussed with Denis,,,,,,
0,Carlson discusses,,,,,,
0,Richey discusses,,,,,,
0,Kate discusses,,,,,,
0,Corita discussed,,,,,,
0,Colorado and Jordan discussed,,,,,,
0,Nikolic and Hollande discussed,,,,,,
0,Drehel and Streiker discussed,,,,,,
0,Kunz and Park discussed,,,,,,
0,Simon and Prophet discussed,,,,,,
0,Netanyahu and Abdullah discussed,,,,,,
0,Simon and McKough discussed,,,,,,
0,Marcel reconciled with Klaus,,,,,,
0,Vsevolod reconciled with Andrew,,,,,,
0,We reconciled ,,,,,,
0,They reconciled last year,,,,,,
0,Wilson and Mahoney alternated,,,,,,
0,Birdsong and Ballard alternated,,,,,,
0,Hargreaves and Lansdown alternated,,,,,,
0,Keough and Lisa alternated,,,,,,
0,Addison and Beazant alternated,,,,,,
0,Venezuela and Cuba tie,,,,,,
0,Nebraska and Kansas tied,,,,,,
1,Iran negotiated with Regan,,,,,,
0,Doncaster negotiates with Sky,,,,,,
0,Shuvalov negotiated with Lawrence,,,,,,
1,The Administration negotiated with Baucus,,,,,,
0,NBC and Cooper negotiated,,,,,,
0,Ankara and Brussels negotiated,,,,,,
0,Harklau and Norwood negotiated,,,,,,
0,Oklahoma negotiates,,,,,,
1,Iddles argued with Mr,,,,,,
0,Newton argued with Hooke,,,,,,
0,Sauron argues with Erestor,,,,,,
0,Stossel argues with Bill,,,,,,
0,Klein argues,,,,,,
0,Demos argues,,,,,,
0,Desmond argues,,,,,,
0,Lelouch and Kallen argue with each other,,,,,,
0,Race clashed with Snowdon,,,,,,
0,Syracuse clashed with USC,,,,,,
0,Lebanon clashed with Hezbollah,,,,,,
0,State clashed with Louisville,,,,,,
0,Cup clashes with Barbados,,,,,,
0,Championship clashes with Karpov,,,,,,
0,Sczerbiak clashes with KG,,,,,,
0,Goodwillie clashes with Daniel,,,,,,
0,Isle clashes with Glencoe,,,,,,
0,Avatar clashes with Kuvira,,,,,,
0,Bunyodkor and Pakhtakor clashed with each other,,,,,,
0,We clashed,,,,,,
0,My mom and sister clash,,,,,,
0,John and Cara clashed,,,,,,
0,Adobe and Apple clash,,,,,,
0,Chloe and Tyler clashed,,,,,,
0,Postupak chats with Donald,,,,,,
0,Kylael and Thyra chat,,,,,,
0,Development differs from Shea,,,,,,
0,King differs from Sayers,,,,,,
0,Syria differs from Lebanon,,,,,,
0,London differs from Barcelona,,,,,,
0,Ukraine and Belarus differ,,,,,,
0,Wallis and Brooks differed,,,,,,
0,Salmonella and Shigella differ from each other,,,,,,
0,Chandrasekaran differs,,,,,,
0,Jesus conversed with Phillip,,,,,,
0,Rangasamy conversed with Sangili,,,,,,
0,Carnaroli converses with Penn,,,,,,
0,Galan converses with Lion,,,,,,
0,Hollywood Reporter converses with Sam,,,,,,
0,Russia converses with US,,,,,,
0,Lindsay converses with Abelard,,,,,,
0,Globe converses with Yale,,,,,,
0,Poage converses with Texas,,,,,,
0,Elijah converses with Jesus,,,,,,
0,Paul conversed with Jesus,,,,,,
0,Reagan converse with Keyworth,,,,,,
0,Show converses with ATXHS,,,,,,
0,Lawrence converses with Mike,,,,,,
0,Sangban and Kenkeni conversed with each other,,,,,,
0,Nees and Dydy converse with each other,,,,,,
0,Kerry and Zarif conversed ,,,,,,
0,The RAM and CPU conversed,,,,,,
0,Marsh and Perkins converse ,,,,,,
0,Kenobi and Vos converse ,,,,,,
0,Malone and Serena conversed ,,,,,,
0,FeNSUAA coexists with NSUFAA,,,,,,
0,Pankow coexists with Jordi,,,,,,
0,ECN and PCN coexist,,,,,,
0,Westlaw and Lexis coexist,,,,,,
0,Joy and Sadness coexist,,,,,,
0,Emptiness and Fullness coexist,,,,,,
0,Chaos Emeralds and Sol Emeralds coexisted with each other,,,,,,
1,Michael loved Racine,,,,,,
1,Tommie loved Bennie,,,,,,
0,Members of Monty Python loved each other,,,,,,
0,She and Thea loved each other,,,,,,
0,Harold and Vita loved each other,,,,,,
0,she and Touyou loved each other,,,,,,
0,she and Daelin loved each other,,,,,,
0,Swapna and Sucheta loved each other,,,,,,
0,Adam and Eve loved each other,,,,,,
1,Charlotte hugged Harmony,,,,,,
1,Momma hugged Daddy,,,,,,
1,Alex hugged Boogie,,,,,,
1,Bibi hugged Obama,,,,,,
1,Harry hugged Max,,,,,,
1,Yoshiki hugged Toshi,,,,,,
0,Karen and Nina hugged,,,,,,
0,Cesaro and Swagger hugged,,,,,,
0,Roddy and Bucks hug,,,,,,
1,Cindy and Sandy hugged each other,,,,,,
1,Rukh and Salman hugged each other,,,,,,
1,Khushi and Anju hugged each other,,,,,,
1,Clare and Jen hugged each other,,,,,,
1,Monique and Tawnya hugged each other,,,,,,
1,Mom and Dad hugged each other,,,,,,
1,Obama and Modi hugged each other,,,,,,
1,William drowned Peter,,,,,,
1,Mac drowned Thursday,,,,,,
1,Joey drowned dear sweet brother,,,,,,
1,Schreiber drowns John Voight and Vera Farmiga,,,,,,
1,Netflix drowns Stuttering Silverlight plugin,,,,,,
1,Gerard drowns Matt,,,,,,
1,Titus drowns Chiron,,,,,,
1,Samantha drowned,,,,,,
1,Jamie drowns,,,,,,
1,Joey drowned his brother,,,,,,
1,We drown each other,,,,,,
1,Ben and Sam drowned each other,,,,,,
1,Pettigrew saw Buderim,,,,,,
1,Joram saw Jehu,,,,,,
1,Face saw Eddie,,,,,,
1,Ramos saw Christopher,,,,,,
1,Fathers saw Mary,,,,,,
1,Cabrera saw,,,,,,
1,Jim saw,,,,,,
1,Harry saw,,,,,,
1,Marguerite and the Antoninis saw each other,,,,,,
1,Isaac and Rebekah saw each other,,,,,,
1,he and Amber saw each other,,,,,,
1,He and Mallett saw each other,,,,,,
1,Grampy and Sean saw each other,,,,,,
1,Meetinghouse hit Tokyo,,,,,,
1,Wragge hit 9-of-14,,,,,,
1,ABC hit Kyle,,,,,,
1,Tsunami hit Japan,,,,,,
1,Hurricane Katrina hit New Jersey,,,,,,
1,Broadway hit Mary,,,,,,
1,Showtime hit Penny,,,,,,
1,Gambhir hit Henriques,,,,,,
1,Sheamus hit Ziggler,,,,,,
1,Africa hit Old America,,,,,,
1,Winston hit Rashad,,,,,,
1,AJ hit Abyss,,,,,,
1,Jarrett hit Roode,,,,,,
1,DoJ hit BAE,,,,,,
1,Hurricane Sandy hit New York,,,,,,
1,Sigiric hit Tobias,,,,,,
1,RSI hit the ground,,,,,,
1,HBK hit Sweet,,,,,,
1,Lee hit Andres,,,,,,
1,Fiona hits,,,,,,
1,Charlie hit,,,,,,
1,Beyonce hits,,,,,,
1,Avicii hit,,,,,,
1,Katrina hit,,,,,,
1,Melissa hit,,,,,,
1,The devil worshipping family hit each other,,,,,,
1,Wyatt and Ambrose hit each other,,,,,,
1,Matt Bennett and Liz Gillies hit each other,,,,,,
1,Wyatt and Reigns hit each other,,,,,,
1,Chaos Space Marines from both Chapters hit each other,,,,,,
1,Dean and Roman hit each other,,,,,,
1,The surfaces of the Dodocaeder hit each other,,,,,,
1,Aman and Suyyash hit each other,,,,,,
1,Isaac and Bruno hit each other,,,,,,
1,A minivan and SUV hit each other,,,,,,
1,Chaser and Beater hit each other,,,,,,
1,MnB1 followed Michaelis-Menten,,,,,,
1,Pidianpidian followed each other,,,,,,
1,Jimmy Little and Brendan Gallagher followed each other,,,,,,
1,The AIS Tracking Drift Buoys followed each other,,,,,,
1,The Norwegian frigate Helge Ingstad followed each other,,,,,,
1,Stephen Shaizy and George Thurz followed each other,,,,,,
1,Mark and Matthew followed each other,,,,,,
1,Homer choked Bart,,,,,,
1,Riders choked Chittagong,,,,,,
1,Fire choked Yosemite,,,,,,
1,Tony and Tiffini choked,,,,,,
1,Bart and Homer choked each other,,,,,,
1,We choked each other,,,,,,
1,Boethiah ate Trinimac,,,,,,
1,Cows ate GM,,,,,,
1,Castro ate shit,,,,,,
1,I ate bricks,,,,,,
1,Waits ate Peter,,,,,,
1,Brother ate pencil,,,,,,
1,David ate Thumper,,,,,,
1,Grandma ate Quargel,,,,,,
1,Ramsay ate minke,,,,,,
1,Cho ate Girl,,,,,,
1,Lector ate Mister,,,,,,
1,manbearpig ate Noah,,,,,,
1,She ate Bubba Gump,,,,,,
1,Firefighters ate meals,,,,,,
1,Diane eats,,,,,,
1,Kim eats,,,,,,
1,Ford ate,,,,,,
1,Brian eats,,,,,,
1,Adam and Eve ate,,,,,,
1,Gina and Anna ate,,,,,,
1,Jack and Ariel ate,,,,,,
1,Moon copied Mr Cummings,,,,,,
1,Wright copied Kitchens,,,,,,
1,Texas copied Minnesota,,,,,,
1,Nijmegen copied Jacob,,,,,,
1,Schambach copied him ,,,,,,
1,Thicke copied Marvin Gaye,,,,,,
1,MS copied Unix,,,,,,
1,Rembrand copied Mantegna,,,,,,
1,Art copies life,,,,,,
1,Austria copied Germany,,,,,,
1,Fasciscts and the Stalinists copied each other,,,,,,
1,Schmeichel saved Bastian,,,,,,
1,McKendrick saved Marta,,,,,,
1,Mickey saved Minnie,,,,,,
1,Faith saved Rahab,,,,,,
1,Harry kissed Hermione,,,,,,
0,Wilson and Tera kissed,,,,,,
0,Chuck and Eva kiss,,,,,,
0,Peter and Gwen kiss,,,,,,
0,Lisa and Naomi kissed,,,,,,
0,Leroy and Shannon kissed,,,,,,
0,Robert and Carla kiss,,,,,,
0,Nancy and Mary kissed,,,,,,
0,Carla and Elliot kiss,,,,,,
0,Emily and Sam kissed,,,,,,
0,Chairman and Sayuri kiss,,,,,,
0,Phineas and Isabella kiss,,,,,,
0,Drake and Madonna kiss,,,,,,
0,Ross and Rachel kissed,,,,,,
1,Harry and Hermoine kiss each other,,,,,,
1,Annie and Beth kiss each other,,,,,,
1,Chloe and Mathew kissed each other,,,,,,
1,Jodi and Matt kissed each other,,,,,,
1,Carly and Freddie kiss each other,,,,,,
1,Cynthia and Foxy kissed each other,,,,,,
1,Afghanistan hated America,,,,,,
1,Power hated Vince,,,,,,
1,Jack hated Fidel-Obama,,,,,,
1,Einstein hated McCarthy,,,,,,
1,Smartt hated Johnny,,,,,,
1,i hated Greece,,,,,,
1,McCoy hated Anse,,,,,,
1,Nehru hated Netaji,,,,,,
1,Liedecker hated Prosperity,,,,,,
1,Mary hated Derwent,,,,,,
1,Mildred hated Lexington,,,,,,
1,Reagan hated Vice,,,,,,
1,Walmart hates,,,,,,
1,Love and charity hated,,,,,,
1,AI and MSNBC hate,,,,,,
0,Voyles and Coal hated each other,,,,,,
1,We killed the President,,,,,,
0,Boozle and a wolf named Sinna killed each other,,,,,,
0,Polyneices and Eteocles killed each other,,,,,,
0,Lockheed and D killed each other,,,,,,
0,Mafia and Serial Killer killed each other,,,,,,
0,Isaki and Nabuko killed each other,,,,,,
0,Bengalis and Biharis killed each other,,,,,,
0,People of Medjugorje killed each other,,,,,,
0,Uzbeks and Kyrgyz killed each other,,,,,,
1,McMillan chases McCaughan,,,,,,
1,Mom chased Dad,,,,,,
1,Rangers chased Marc-Andre,,,,,,
1,The league chased Roma,,,,,,
1,Subject chased A,,,,,,
1,American chases Delta,,,,,,
1,Hurricane chased Gunpowder,,,,,,
1,Emma chases,,,,,,
0,Anton and Llewellyn chase each other,,,,,,
0,PallysLad and DigitalLouis chased each other,,,,,,
1,Prison hurt Richard,,,,,,
1,Philadelphia hurts Beck,,,,,,
1,Wednesday hurt BU,,,,,,
1,Valderrama hurt Karperis,,,,,,
1,Injury hurts girl,,,,,,
1,Claudia hurt Sophia,,,,,,
1,AutoCAD hurts C,,,,,,
1,Data hurts EasyJet,,,,,,
1,McLeod hurt Daddy,,,,,,
1,Brewster hurt Liakhovich,,,,,,
1,Ting hurts Tang,,,,,,
1,Despaigne hurt Miranda,,,,,,
1,Meshach and Abednego hurt,,,,,,
1,Collins and Whitworth hurt,,,,,,
1,Cody and Sierra hurt,,,,,,
1,Zeke and Griffin hurt,,,,,,
1,Dad and Mom hurt,,,,,,
1,Spiderman and Batman hurt,,,,,,
1,James and C.J. hurt,,,,,,
1,Harry bumped into Malfoy,,,,,,
1,Gwen bumps into Heather,,,,,,
1,Ammon bumped into James,,,,,,
1,Doughty bumped Mike Santorelli,,,,,,
1,Worthington bumped up Carson,,,,,,
1,Power bumped into Jimmy,,,,,,
1,Warren bumped Tea Party,,,,,,
1,Prado bumps into Dexter,,,,,,
1,Matera bumped off Madigan,,,,,,
1,I bump into Tony,,,,,,
1,Tim bumped into Chris,,,,,,
1,Nash bumped,,,,,,
0,Leonel and Swyline bumped into each other,,,,,,
1,Committee listened to Mayor,,,,,,
1,i listened to Buttercups,,,,,,
1,Dempsey listens to Chief,,,,,,
1,Crawford listened,,,,,,
1,Albert listened,,,,,,
1,Matthew listened,,,,,,
1,Jim listened,,,,,,
1,Master listened,,,,,,
0,UK and Ireland listen to each other,,,,,,
1,Beard forgave Wiwaxia,,,,,,
1,You forgive Peter,,,,,,
1,Pakistan forgive Benazir,,,,,,
1,Laertes forgives Hamlet,,,,,,
1,Myanmar forgive India,,,,,,
1,Alexandra forgive Felix,,,,,,
1,Richard forgave John,,,,,,
1,Miranda forgave Steve,,,,,,
1,Sinjie forgive Pang,,,,,,
0,Mo and Jonas forgive each other,,,,,,
0,Paul and Mark forgave each other,,,,,,
0,Venus and Psyche forgive each other,,,,,,
0,Gurov and Anna forgive each other,,,,,,
1,Twomey talked to BBC,,,,,,
1,Emelin and Diorethrin talk to each other,,,,,,
1,Sadie and Barbara talk to each other,,,,,,
1,Department pushed Pell,,,,,,
1,Regina pushed Cora,,,,,,
1,Matt pushed Ben,,,,,,
1,Rossiter pushed Ruaidhri,,,,,,
1,Cretin pushed Biafra,,,,,,
1,America pushed Israel,,,,,,
1,Shraddha pushed Bhavri,,,,,,
1,Rio pushed Mercy,,,,,,
1,Aimee pushed,,,,,,
1,Greenstein pushed,,,,,,
1,I pushed,,,,,,
0,Webb and Wilkins pushed each other,,,,,,
0,Link and Lidana pushed each other,,,,,,
0,RES-1 and RES-2 pushed each other,,,,,,
