New (wrong) category,Sentence,Context type,,Context,Misclassified,Total,Proportion
0,Bunt argues,3,,,,,
0,Desmond argues,3,,,,,
0,Dowding clashed with General,1,,,,,
0,Race clashed with Snowdon,1,,,,,
0,Senator clashed with TSA,1,,,,,
0,Syracuse clashed with USC,1,,,,,
0,Jarasa clashed with Yatvingians,1,,,,,
0,Lebanon clashed with Hezbollah,1,,,,,
0,Hadi clashed with Houthi,1,,,,,
0,Goldsmith clashed with Heathrow,1,,,,,
0,State clashed with Louisville,1,,,,,
0,Frost clashes with Pitch,1,,,,,
0,Philip clashes with Will,1,,,,,
0,Cup clashes with Barbados,1,,,,,
0,Championship clashes with Karpov,1,,,,,
0,Germany clashes with France,1,,,,,
0,Sczerbiak clashes with KG,1,,,,,
0,Goodwillie clashes with Daniel,1,,,,,
0,Isle clashes with Glencoe,1,,,,,
0,Avatar clashes with Kuvira,1,,,,,
0,Sync clashes with Master,1,,,,,
0,We clashed,4,,,,,
0,Clinton chats with Megan,1,,,,,
0,Postupak chats with Donald,1,,,,,
0,Harwood chatted with Host,1,,,,,
0,Pauw chatted with Music reporter,1,,,,,
0,Cox chats with Brandi,1,,,,,
0,Wingo chats with Mark,1,,,,,
0,Network chatted with Morris,1,,,,,
0,Dyer chatted with Stefanie,1,,,,,
0,Enda chats with Susan,1,,,,,
0,Foucade chatted with Peter,1,,,,,
0,Amber chats with Don,1,,,,,
0,Alan chats with Doug,1,,,,,
0,Irving chats with Nature,1,,,,,
0,Ford chatted with Book-It person,1,,,,,
0,MT chatted with Duncan,1,,,,,
0,Cederberg chatted with Hansson,1,,,,,
0,Riegle chat with Kim,1,,,,,
0,Belichick chatted with Graham,1,,,,,
0,Amber chats with Ming,1,,,,,
0,Power chat with Peter,1,,,,,
0,Jesus conversed with Phillip,1,,,,,
0,Rangasamy conversed with Sangili,1,,,,,
0,Carnaroli converses with Penn,1,,,,,
0,Galan converses with Lion,1,,,,,
0,Hollywood Reporter converses with Sam,1,,,,,
0,Lindsay converses with Abelard,1,,,,,
0,Poage converses with Texas,1,,,,,
0,Elijah converses with Jesus,1,,,,,
0,Paul conversed with Jesus,1,,,,,
0,Franchina converses with California,1,,,,,
0,Smith conversed with Matt,1,,,,,
0,Reagan converse with Keyworth,1,,,,,
0,Agata converses with Chris,1,,,,,
0,Mantle converses with Councilmember,1,,,,,
0,Show converses with ATXHS,1,,,,,
0,Lawrence converses with Mike,1,,,,,
0,Kiesewetter converses with Commandant,1,,,,,
1,The boy and his sister drowned,4,,,,,
1,We drowned,4,,,,,
1,We drown each other,4,,,,,
1,Ben and Sam drowned each other,4,,,,,
1,God sees,3,,,,,
1,Marguerite and the Antoninis saw each other,2,,,,,
1,Obama and Venezuelan President Hugo Chavez saw each other,2,,,,,
1,Isaac and Rebekah saw each other,2,,,,,
1,Leslie and Ron saw each other,2,,,,,
1,he and Amber saw each other,2,,,,,
1,He and Mallett saw each other,2,,,,,
1,She and Jack saw each other,2,,,,,
1,Grampy and Sean saw each other,2,,,,,
1,Lucy and Vova saw each other,2,,,,,
1,The devil worshipping family hit each other,2,,,,,
1,Wyatt and Ambrose hit each other,2,,,,,
1,Matt Bennett and Liz Gillies hit each other,2,,,,,
1,Wyatt and Reigns hit each other,2,,,,,
1,Chaos Space Marines from both Chapters hit each other,2,,,,,
1,Dean and Roman hit each other,2,,,,,
1,The surfaces of the Dodocaeder hit each other,2,,,,,
1,Aman and Suyyash hit each other,2,,,,,
1,Isaac and Bruno hit each other,2,,,,,
1,A minivan and SUV hit each other,2,,,,,
1,Chaser and Beater hit each other,2,,,,,
1,Harris and his brother Jason followed each other,2,,,,,
1,Pidianpidian followed each other,2,,,,,
1,Jimmy Little and Brendan Gallagher followed each other,2,,,,,
1,The AIS Tracking Drift Buoys followed each other,2,,,,,
1,Julia Kristeva and Benedict XVI followed each other,2,,,,,
1,Shooters followed each other,2,,,,,
1,The Norwegian frigate Helge Ingstad followed each other,2,,,,,
1,Stephen Shaizy and George Thurz followed each other,2,,,,,
1,Mark and Matthew followed each other,2,,,,,
1,Ryan and Lana followed each other,2,,,,,
1,Rhinos and Immolators choked,4,,,,,
1,Ike and Meg choked,4,,,,,
1,Tony and Tiffini choked,4,,,,,
1,David and George choked,4,,,,,
1,Mobley and Wallace choked,4,,,,,
1,Illustrator and CorelDRAW choked,4,,,,,
1,Palestine and Gaza choked,4,,,,,
1,Kiba and Naruto choked,4,,,,,
1,D-Von and Strowman choked,4,,,,,
1,Suzi and Sheela choked,4,,,,,
1,Texas and Kansas choked,4,,,,,
1,Palestine and Gaza choked,4,,,,,
1,Segers and Baez choked,4,,,,,
1,Ewing and Starks choked,4,,,,,
1,Bart and Homer choked each other,2,,,,,
1,The lovers choked each other,2,,,,,
1,We choked each other,2,,,,,
1,Adam and Eve ate,4,,,,,
1,Sadie and Holly ate,4,,,,,
1,Gina and Anna ate,4,,,,,
1,Hendrik and Rosa ate,4,,,,,
1,Jeff and Kelly ate,4,,,,,
1,Jack and Ariel ate,4,,,,,
1,Fasciscts and the Stalinists copied each other,2,,,,,
1,Yakini and Ganyeka copied each other,2,,,,,
1,Dick and Rick saved each other,2,,,,,
1,Luffy and Law saved each other,2,,,,,
1,Harry and Hermoine kiss each other,2,,,,,
1,Filippa and Alessio kissed each other,2,,,,,
1,Annie and Beth kiss each other,2,,,,,
1,Doodle and Dixie kiss each other,2,,,,,
1,Chloe and Mathew kissed each other,2,,,,,
1,Jodi and Matt kissed each other,2,,,,,
1,Alex and Liz kissed each other,2,,,,,
1,Carly and Freddie kiss each other,2,,,,,
1,Obama and Michelle kiss each other,2,,,,,
1,Cynthia and Foxy kissed each other,2,,,,,
1,We kissed tonight,4,,,,,
1,Romeo and Juliet kissed passionately,4,,,,,
1,Walmart hates,3,,,,,
1,God hates,3,,,,,
1,Jesus hates,3,,,,,
1,Love and charity hated,4,,,,,
1,AI and MSNBC hate,4,,,,,
1,Smoking kills,3,,,,,
1,Lightning kills,3,,,,,
1,ISIL killed,3,,,,,
1,Meshach and Abednego hurt,4,,,,,
1,Nashville and Montreal hurt,4,,,,,
1,Collins and Whitworth hurt,4,,,,,
1,O'Neal and Daniels hurt,4,,,,,
1,Cody and Sierra hurt,4,,,,,
1,Zeke and Griffin hurt,4,,,,,
1,Dad and Mom hurt,4,,,,,
1,Spiderman and Batman hurt,4,,,,,
1,James and C.J. hurt,4,,,,,
1,Iverson and Randolph hurt,4,,,,,
1,Peden bumps into Ashlee,1,,,,,
1,Gwen bumps into Heather,1,,,,,
1,I bump into Tony,1,,,,,
1,Cross bumps the Junker,1,,,,,
1,YouTube bumps,3,,,,,
1,Nash bumped,3,,,,,
1,Thomas listens to Mozart,1,,,,,
1,Goswami listens to Kanan,1,,,,,
1,Committee listened to Mayor,1,,,,,
1,Parker listened to Zade,1,,,,,
1,James listened to Mrs. Haddaway's speech,1,,,,,
1,i listened to Buttercups,1,,,,,
1,Diangelo listened to Jessop,1,,,,,
1,Francisco listens to Super Diamond,1,,,,,
1,Simmons listens to Baltimore,1,,,,,
1,Dempsey listens to Chief,1,,,,,
1,BlueBloggin listens to Rick,1,,,,,
1,Guru listened to Sage,1,,,,,
1,President listened to Congress,1,,,,,
1,Allie listens to David,1,,,,,
1,Terry listened to Sue,1,,,,,
1,Cynthia listens to Kaiser,1,,,,,
1,Gerda listened to Yonson,1,,,,,
1,Asa listens,3,,,,,
1,Isabella and Nolan listen,4,,,,,
1,Liv and Jules listen,4,,,,,
1,Harry and Ron listen,4,,,,,
1,Drumm talks to Jan,1,,,,,
1,Resendez talks to Enrique,1,,,,,
1,Mullan talks to Eats,1,,,,,
1,Thurston talks to Karen,1,,,,,
1,MSNBC talked to Marc,1,,,,,
1,Hemsworth talk to KBS,1,,,,,
1,Hemsworth talk to Yahoo,1,,,,,
1,Halligalli talk to Jennifer,1,,,,,
1,News talks to Drs,1,,,,,
1,James talks to Andrew,1,,,,,
1,Surrey talks to Dr Michael Patterson,1,,,,,
1,TODAY talked to Brooke,1,,,,,
1,Swen talk to Crooked Bee,1,,,,,
1,Minister talks to LEPs,1,,,,,
1,Baker talks to Peter,1,,,,,
1,Baker talks to Sir,1,,,,,
1,Mom and Dad talk,4,,,,,
1,Kaesi and Layfield talk,4,,,,,
1,Jack and Victoria talk,4,,,,,
1,Clark and Diana talk,4,,,,,
1,Theresa and Charles talked,4,,,,,
1,Joy and Sorrow talked,4,,,,,
1,Elliot and Cass talked,4,,,,,
1,Booster and Guy talk,4,,,,,
1,Rachel and Stacie talk,4,,,,,
1,Emelin and Diorethrin talk to each other,2,,,,,
1,Sadie and Barbara talk to each other,2,,,,,
1,Soldiers push,4,,,,,
