New (wrong) category,Sentence,Context,,Context,Misclassified,Total,Proportion
0,Elizabeth meets New Zealand Rugby team,1,,,,,
0,Kapur met USC Provost Garrett and Dean Yortsos,1,,,,,
1,Pairvi met justice,1,,,,,
0,Europe meets Asia,1,,,,,
0,Sam met Moat,1,,,,,
0,Versace meets H&M,1,,,,,
0,Matt met Jason,1,,,,,
0,Sanders met Sullivan,1,,,,,
0,Doc meets MC,1,,,,,
1,ANRBI meets USDA training requirements,1,,,,,
0,Love and Sebastian meet each other,2,,,,,
0,Doggett and Kersh meet each other,2,,,,,
0,Bonao and Constanza meet each other,2,,,,,
0,Luke and Lucy meet each other,2,,,,,
0,Okereke and Lissack met each other,2,,,,,
0,Tyson and Mac met each other,2,,,,,
0,Carrasco and Flores met each other,2,,,,,
0,Network and IMO meet each other,2,,,,,
0,Florey shares with Sir,1,,,,,
0,Mastick shared with Roosevelt,1,,,,,
0,Popovic and Schindele share,4,,,,,
0,John shared,3,,,,,
0,Choruses and Quartets share with each other,2,,,,,
0,House combined with Nu,1,,,,,
0,CVSTOBVS combined with 10X,1,,,,,
0,Biloba combined with Phospholipids,1,,,,,
0,Globule combined with DNS,1,,,,,
0,HPLC combined with UV,1,,,,,
0,We combined our problems,4,,,,,
0,X and Y combined to make Z,4,,,,,
1,A guy mixes Spanish and Hebrew,1,,,,,
0,Contemporary mixed with HipHop,1,,,,,
0,Tylenol mixed with Advil,1,,,,,
0,Superman mixed with Professor,1,,,,,
0,Love and poison mix with each other well,2,,,,,
0,Salih discussed with South,1,,,,,
0,Hank discussed with Carol,1,,,,,
0,Entsch discussed with Peter,1,,,,,
0,Sarkozy discussed with President,1,,,,,
0,Regulation discussed with John,1,,,,,
0,Brussels discussed with Georges,1,,,,,
0,Hazelwood discussed with Vice,1,,,,,
0,Carlson discusses,3,,,,,
0,Richey discusses,3,,,,,
0,Kate discusses,3,,,,,
0,VF2 and VF10 discussed with each other,2,,,,,
0,Colorado and Jordan discussed,4,,,,,
0,Nikolic and Hollande discussed,4,,,,,
0,Kunz and Park discussed,4,,,,,
0,Simon and Prophet discussed,4,,,,,
0,Netanyahu and Abdullah discussed,4,,,,,
0,Simon and McKough discussed,4,,,,,
0,Fisher reconciled with Buttafuoco,1,,,,,
0,Hippolytus reconciled with Rome,1,,,,,
0,Marcel reconciled with Klaus,1,,,,,
0,Vsevolod reconciled with Andrew,1,,,,,
0,Adams reconciled with Jefferson,1,,,,,
0,Currie reconciled with Fowley,1,,,,,
0,She reconciled with God,1,,,,,
0,Ben and John reconcile with each other,2,,,,,
0,We reconciled ,4,,,,,
0,They reconciled last year,4,,,,,
0,Foster alternated with Leslie,1,,,,,
0,Whissen alternated with Allen,1,,,,,
0,Wilson and Mahoney alternated,4,,,,,
0,Their footsteps alternated with each other,2,,,,,
0,School tied with Yale,1,,,,,
0,Venezuela and Cuba tie,4,,,,,
1,Iran negotiated with Regan,1,,,,,
0,Louverture negotiates with Thomas,1,,,,,
0,Doncaster negotiates with Sky,1,,,,,
0,SFOP negotiated with PG,1,,,,,
0,Shuvalov negotiated with Lawrence,1,,,,,
1,The Administration negotiated with Baucus,1,,,,,
0,NBC and Cooper negotiated,4,,,,,
0,Harklau and Norwood negotiated,4,,,,,
0,Oklahoma negotiates,3,,,,,
0,Pepper and Boots negotiate with each other,2,,,,,
1,Iddles argued with Mr,1,,,,,
0,Newton argued with Hooke,1,,,,,
0,Sauron argues with Erestor,1,,,,,
0,Stossel argues with Bill,1,,,,,
0,Klein argues,3,,,,,
0,Demos argues,3,,,,,
0,Bunt argues,3,,,,,
0,Desmond argues,3,,,,,
0,Rose and Jenny argue with each other,2,,,,,
0,Show and Henry argue with each other,2,,,,,
0,Lelouch and Kallen argue with each other,2,,,,,
0,Race clashed with Snowdon,1,,,,,
0,Senator clashed with TSA,1,,,,,
0,Syracuse clashed with USC,1,,,,,
0,Lebanon clashed with Hezbollah,1,,,,,
0,Goldsmith clashed with Heathrow,1,,,,,
0,State clashed with Louisville,1,,,,,
0,Frost clashes with Pitch,1,,,,,
0,Philip clashes with Will,1,,,,,
0,Cup clashes with Barbados,1,,,,,
0,Championship clashes with Karpov,1,,,,,
0,Sczerbiak clashes with KG,1,,,,,
0,Goodwillie clashes with Daniel,1,,,,,
0,Isle clashes with Glencoe,1,,,,,
0,Sync clashes with Master,1,,,,,
0,Bunyodkor and Pakhtakor clashed with each other,1,,,,,
0,We clashed,4,,,,,
0,My mom and sister clash,4,,,,,
0,Adobe and Apple clash,4,,,,,
0,Chloe and Tyler clashed,4,,,,,
0,Postupak chats with Donald,1,,,,,
0,Harwood chatted with Host,1,,,,,
0,Ford chatted with Book-It person,1,,,,,
0,Kylael and Thyra chat,4,,,,,
0,Beak and Tommy chat,4,,,,,
0,Plato differed from Socrates,1,,,,,
0,Development differs from Shea,1,,,,,
0,API differs from Software-component,1,,,,,
0,PPMS differs from RRMS,1,,,,,
0,REST differs from RPC-style,1,,,,,
0,Syria differs from Lebanon,1,,,,,
0,Wesley differed from J,1,,,,,
0,DHCPv6 differs from DHCPv4,1,,,,,
0,London differs from Barcelona,1,,,,,
0,Wallis and Brooks differed,4,,,,,
0,Cristos and Crhstos differ from each other,2,,,,,
0,Salmonella and Shigella differ from each other,2,,,,,
0,Thomas differs,3,,,,,
0,Jesus conversed with Phillip,1,,,,,
0,Carnaroli converses with Penn,1,,,,,
0,Galan converses with Lion,1,,,,,
0,Hollywood Reporter converses with Sam,1,,,,,
0,Russia converses with US,1,,,,,
0,Lindsay converses with Abelard,1,,,,,
0,Globe converses with Yale,1,,,,,
0,Poage converses with Texas,1,,,,,
0,Elijah converses with Jesus,1,,,,,
0,Paul conversed with Jesus,1,,,,,
0,Reagan converse with Keyworth,1,,,,,
0,Mantle converses with Councilmember,1,,,,,
0,Show converses with ATXHS,1,,,,,
0,Lawrence converses with Mike,1,,,,,
0,Kiesewetter converses with Commandant,1,,,,,
0,Sangban and Kenkeni conversed with each other,2,,,,,
0,Tsutomu and Birdy converses with each other,2,,,,,
0,Nees and Dydy converse with each other,2,,,,,
0,The RAM and CPU conversed,2,,,,,
0,Marsh and Perkins converse ,4,,,,,
0,Kenobi and Vos converse ,4,,,,,
0,Malone and Serena conversed ,4,,,,,
0,FeNSUAA coexists with NSUFAA,1,,,,,
0,5CoO2 coexists with CDP-electrolyte,1,,,,,
0,U coexists with W,1,,,,,
0,SoundRuler coexists with Matlab,1,,,,,
0,Pankow coexists with Jordi,1,,,,,
0,Time coexists with Timelessness,1,,,,,
0,The partnership coexists with BYU,1,,,,,
0,ECN and PCN coexist,4,,,,,
0,Westlaw and Lexis coexist,4,,,,,
0,Joy and Sadness coexist,4,,,,,
0,Emptiness and Fullness coexist,4,,,,,
0,Chaos Emeralds and Sol Emeralds coexisted with each other,2,,,,,
1,Leila loved IRAN,1,,,,,
1,Michael loved Racine,1,,,,,
0,Members of Monty Python loved each other,2,,,,,
0,She and Thea loved each other,2,,,,,
0,Harold and Vita loved each other,2,,,,,
0,she and Touyou loved each other,2,,,,,
0,she and Daelin loved each other,2,,,,,
0,Swapna and Sucheta loved each other,2,,,,,
0,He and Father loved each other,2,,,,,
0,Maam and Pa loved each other,2,,,,,
0,Adam and Eve loved each other,2,,,,,
1,Momma hugged Daddy,1,,,,,
1,Bibi hugged Obama,1,,,,,
1,Harry hugged Max,1,,,,,
0,Buffy and Dawn hug,1,,,,,
0,Mickey and Billy hugged,4,,,,,
0,Roddy and Bucks hug,4,,,,,
1,Cindy and Sandy hugged each other,2,,,,,
1,Clare and Jen hugged each other,2,,,,,
1,Monique and Tawnya hugged each other,2,,,,,
1,Mom and Dad hugged each other,2,,,,,
1,Obama and Modi hugged each other,2,,,,,
1,William drowned Peter,1,,,,,
1,Mac drowned Thursday,1,,,,,
1,Rai drowned Sali,1,,,,,
1,Crimson Tide drowns Pikers,1,,,,,
1,Schreiber drowns John Voight and Vera Farmiga,1,,,,,
1,Gerard drowns Matt,1,,,,,
1,River drowned Valmeyer,1,,,,,
1,UK drowned Iraq,1,,,,,
1,Samantha drowned,3,,,,,
1,Jamie drowns,3,,,,,
1,Dirksz drowned Saturday,1,,,,,
1,Claudia drowned Sophia,1,,,,,
1,Ben and Sam drowned each other,2,,,,,
1,Veronica saw Glorimar,1,,,,,
1,Pettigrew saw Buderim,1,,,,,
1,Face saw Eddie,1,,,,,
1,Wednesday saw Atlanta,1,,,,,
1,Jong-il saw Saddam,1,,,,,
1,Mahakassapa saw Kapilana,1,,,,,
1,James saw Nic,1,,,,,
1,Friday saw L,1,,,,,
1,Crieff saw SP58,1,,,,,
1,Fathers saw Mary,1,,,,,
1,Cabrera saw,3,,,,,
1,Jim saw,3,,,,,
1,Harry saw,3,,,,,
1,Marguerite and the Antoninis saw each other,2,,,,,
1,Isaac and Rebekah saw each other,2,,,,,
1,he and Amber saw each other,2,,,,,
1,Grampy and Sean saw each other,2,,,,,
1,Wragge hit 9-of-14,1,,,,,
1,Tsunami hit Japan,1,,,,,
1,Hurricane Katrina hit New Jersey,1,,,,,
1,Broadway hit Mary,1,,,,,
1,Gambhir hit Henriques,1,,,,,
1,Sheamus hit Ziggler,1,,,,,
1,Africa hit Old America,1,,,,,
1,Winston hit Rashad,1,,,,,
1,AJ hit Abyss,1,,,,,
1,Jarrett hit Roode,1,,,,,
1,DoJ hit BAE,1,,,,,
1,Hurricane Sandy hit New York,1,,,,,
1,Sigiric hit Tobias,1,,,,,
1,RSI hit the ground,1,,,,,
1,Lee hit Andres,1,,,,,
1,Fiona hits,3,,,,,
1,Charlie hit,3,,,,,
1,Avicii hit,3,,,,,
1,Katrina hit,3,,,,,
1,Melissa hit,3,,,,,
1,The devil worshipping family hit each other,2,,,,,
1,Wyatt and Ambrose hit each other,2,,,,,
1,Matt Bennett and Liz Gillies hit each other,2,,,,,
1,Wyatt and Reigns hit each other,2,,,,,
1,Dean and Roman hit each other,2,,,,,
1,Aman and Suyyash hit each other,2,,,,,
1,Isaac and Bruno hit each other,2,,,,,
1,A minivan and SUV hit each other,2,,,,,
1,Chaser and Beater hit each other,2,,,,,
1,Pidianpidian followed each other,2,,,,,
1,Tamina choked Nikki,1,,,,,
1,Indonesia choked Malaysia,1,,,,,
1,Riders choked Chittagong,1,,,,,
1,Gabriel choked,3,,,,,
1,Kamsri choked,3,,,,,
1,Ike and Meg choked,4,,,,,
1,Tony and Tiffini choked,4,,,,,
1,David and George choked,4,,,,,
1,Kiba and Naruto choked,4,,,,,
1,Bart and Homer choked each other,2,,,,,
1,Boethiah ate Trinimac,1,,,,,
1,Castro ate shit,1,,,,,
1,I ate bricks,1,,,,,
1,Waits ate Peter,1,,,,,
1,SGI ate Evan,1,,,,,
1,Brother ate pencil,1,,,,,
1,David ate Thumper,1,,,,,
1,Grandma ate Quargel,1,,,,,
1,Ramsay ate minke,1,,,,,
1,Cho ate Girl,1,,,,,
1,Lector ate Mister,1,,,,,
1,manbearpig ate Noah,1,,,,,
1,Firefighters ate meals,1,,,,,
1,Diane eats,3,,,,,
1,Kim eats,3,,,,,
1,David eats,3,,,,,
1,Ford ate,3,,,,,
1,Brian eats,3,,,,,
1,Adam and Eve ate,4,,,,,
1,Gina and Anna ate,4,,,,,
1,Hendrik and Rosa ate,4,,,,,
1,Jack and Ariel ate,4,,,,,
1,Wright copied Kitchens,1,,,,,
1,Texas copied Minnesota,1,,,,,
1,Nijmegen copied Jacob,1,,,,,
1,Schambach copied him ,1,,,,,
1,Thicke copied Marvin Gaye,1,,,,,
1,MS copied Unix,1,,,,,
1,Rembrand copied Mantegna,1,,,,,
1,Kieser copied Aldegrever,1,,,,,
1,Art copies life,1,,,,,
1,Austria copied Germany,1,,,,,
1,Fasciscts and the Stalinists copied each other,2,,,,,
1,Yakini and Ganyeka copied each other,2,,,,,
1,Bibhishana saved Lanka,1,,,,,
1,Sinead saved Zach,1,,,,,
1,Edward saved Bella,1,,,,,
1,Schmeichel saved Bastian,1,,,,,
1,God saved Israel,1,,,,,
1,Akande saved Shooting victim,1,,,,,
1,Sigma saved Fort,1,,,,,
1,Allah saved Abraham,1,,,,,
1,Lucia saved Kaito,1,,,,,
1,McKendrick saved Marta,1,,,,,
1,God saved him,1,,,,,
1,Mickey saved Minnie,1,,,,,
1,Faith saved Rahab,1,,,,,
1,Marion saves Iris,1,,,,,
1,Lanka saved India,1,,,,,
1,Dick and Rick saved each other,2,,,,,
1,Linda kissed Ellie,1,,,,,
1,Harry kissed Hermione,1,,,,,
1,Obama kissed Biden,1,,,,,
1,Brian kissed Tara,1,,,,,
0,Chuck and Eva kiss,4,,,,,
0,Peter and Gwen kiss,4,,,,,
0,Leroy and Shannon kissed,4,,,,,
0,Carla and Elliot kiss,4,,,,,
0,Ross and Rachel kissed,4,,,,,
1,I kiss,3,,,,,
1,Krista kissed,3,,,,,
1,Harry and Hermoine kiss each other,2,,,,,
1,Annie and Beth kiss each other,2,,,,,
1,Doodle and Dixie kiss each other,2,,,,,
1,Jodi and Matt kissed each other,2,,,,,
1,Alex and Liz kissed each other,2,,,,,
1,Carly and Freddie kiss each other,2,,,,,
1,Afghanistan hated America,1,,,,,
1,Power hated Vince,1,,,,,
1,Jack hated Fidel-Obama,1,,,,,
1,Einstein hated McCarthy,1,,,,,
1,Dad hated MacDonalds,1,,,,,
1,Saul hated David,1,,,,,
1,i hated Greece,1,,,,,
1,Nehru hated Netaji,1,,,,,
1,Liedecker hated Prosperity,1,,,,,
1,Mary hated Derwent,1,,,,,
1,Mildred hated Lexington,1,,,,,
1,Reagan hated Vice,1,,,,,
1,Bernard hated Shakespeare,1,,,,,
1,Walmart hates,3,,,,,
1,Love and charity hated,4,,,,,
1,AI and MSNBC hate,4,,,,,
0,He and Kennedy hated each other,2,,,,,
0,Voyles and Coal hated each other,2,,,,,
1,Vatican killed JFK,1,,,,,
1,Aruba killed Natalee,1,,,,,
1,Indian killed Hualpa,1,,,,,
1,Cain killed Abel,1,,,,,
1,Kagame killed,1,,,,,
0,Boozle and a wolf named Sinna killed each other,2,,,,,
0,Polyneices and Eteocles killed each other,2,,,,,
0,The Nicas killed each other,2,,,,,
0,Lockheed and D killed each other,2,,,,,
0,People of Medjugorje killed each other,2,,,,,
0,Uzbeks and Kyrgyz killed each other,2,,,,,
0,Brothers in Egypt killed each other,2,,,,,
1,Andalas chased Ratu,1,,,,,
1,Mom chased Dad,1,,,,,
1,Rangers chased Marc-Andre,1,,,,,
1,Ryan chased France,1,,,,,
1,American chases Delta,1,,,,,
1,Hurricane chased Gunpowder,1,,,,,
1,Twins chased Beavan,1,,,,,
0,Josh and Jennifer chase each other,2,,,,,
0,Anton and Llewellyn chase each other,2,,,,,
0,PallysLad and DigitalLouis chased each other,2,,,,,
1,Nicki hurts Sean,1,,,,,
1,Prison hurt Richard,1,,,,,
1,Valderrama hurt Karperis,1,,,,,
1,Injury hurts girl,1,,,,,
1,Claudia hurt Sophia,1,,,,,
1,AutoCAD hurts C,1,,,,,
1,Data hurts EasyJet,1,,,,,
1,Playgirl hurt Skid,1,,,,,
1,McLeod hurt Daddy,1,,,,,
1,Brewster hurt Liakhovich,1,,,,,
1,Ting hurts Tang,1,,,,,
1,Despaigne hurt Miranda,1,,,,,
1,Meshach and Abednego hurt,1,,,,,
1,Cody and Sierra hurt,1,,,,,
1,Zeke and Griffin hurt,1,,,,,
1,Dad and Mom hurt,1,,,,,
1,Spiderman and Batman hurt,1,,,,,
1,James and C.J. hurt,1,,,,,
0,Tony and Gibbs hurt each other,2,,,,,
1,Warren bumped Tea Party,1,,,,,
1,Prado bumps into Dexter,1,,,,,
1,Matera bumped off Madigan,1,,,,,
1,Tim bumped into Chris,1,,,,,
0,Blake and Murphy bumped into each other,2,,,,,
0,Leonel and Swyline bumped into each other,2,,,,,
0,Helena and Autumn bumped into each other,2,,,,,
1,Parker listened to Zade,1,,,,,
1,Crawford listened,3,,,,,
1,Obama listened,3,,,,,
1,Albert listened,3,,,,,
1,Matthew listened,3,,,,,
1,Jim listened,3,,,,,
1,Master listened,3,,,,,
1,Norman and Marsha listened,4,,,,,
1,Lanara and Kera listened,4,,,,,
1,Harry and Ron listen,4,,,,,
1,Annie and Jordan listened ,4,,,,,
1,Beard forgave Wiwaxia,1,,,,,
1,Pakistan forgive Benazir,1,,,,,
1,Lord forgave David,1,,,,,
1,Myanmar forgive India,1,,,,,
1,Alexandra forgive Felix,1,,,,,
1,Richard forgave John,1,,,,,
1,Miranda forgave Steve,1,,,,,
1,Obaba forgives Briggs,1,,,,,
1,Liara forgave Shepard,1,,,,,
1,Sinjie forgive Pang,1,,,,,
0,Mo and Jonas forgive each other,2,,,,,
0,Izzy and Rodney forgive each other,2,,,,,
0,Paul and Mark forgave each other,2,,,,,
0,Venus and Psyche forgive each other,2,,,,,
0,Gurov and Anna forgive each other,2,,,,,
0,Torquilstone and Tirgoviste forgive each other,2,,,,,
1,Iran talks,3,,,,,
1,Gerard talks,3,,,,,
1,Mom and Dad talk,4,,,,,
1,Jack and Victoria talk,4,,,,,
1,Clark and Diana talk,4,,,,,
1,Theresa and Charles talked,4,,,,,
1,Rachel and Stacie talk,4,,,,,
1,Emelin and Diorethrin talk to each other,2,,,,,
1,Sadie and Barbara talk to each other,2,,,,,
1,Regina pushed Cora,1,,,,,
1,Rossiter pushed Ruaidhri,1,,,,,
1,Cretin pushed Biafra,1,,,,,
1,America pushed Israel,1,,,,,
1,Shraddha pushed Bhavri,1,,,,,
1,Aimee pushed,3,,,,,
0,Webb and Wilkins pushed each other,2,,,,,
